Customer_id,City_Id,Zones_id,Calorie Intake,Ration Opt
100221,3,8,11948,0
100222,3,1,9419,1
100223,1,6,3832,0
100224,3,18,2961,0
100225,2,18,3702,0
100226,1,16,11855,0
100227,2,14,10787,0
100228,3,14,13743,1
100229,2,18,10217,1
100230,1,1,6249,0
100231,1,18,11082,1
100232,3,5,14364,0
100233,2,6,12053,1
100234,1,8,12326,1
100235,2,1,8107,0
100236,1,13,5128,1
100237,3,9,3449,0
100238,1,7,8699,1
100239,2,12,9502,0
100240,3,2,9076,1
100241,3,19,4801,1
100242,1,4,14678,0
100243,3,7,10441,0
100244,1,13,6299,0
100245,1,19,7583,0
100246,3,14,3691,0
100247,2,2,9603,1
100248,2,13,4651,1
100249,2,7,10428,1
100250,1,20,10915,1
100251,2,8,7422,0
100252,2,13,14448,0
100253,1,5,7043,0
100254,1,9,6732,0
100255,1,9,4511,1
100256,1,1,5395,0
100257,3,5,12777,1
100258,2,16,6301,1
100259,2,15,10643,0
100260,2,1,4368,1
100261,3,8,7309,1
100262,1,4,5389,1
100263,2,15,5618,0
100264,3,5,4293,1
100265,1,5,2960,0
100266,1,15,10967,0
100267,2,8,6389,0
100268,1,14,3910,0
100269,1,15,8559,0
100270,3,1,14155,0
100271,3,6,9941,0
100272,2,15,8166,0
100273,1,16,14342,0
100274,3,5,4618,1
100275,1,15,12644,0
100276,3,8,12861,0
100277,2,16,11384,0
100278,1,19,5400,0
100279,1,17,8205,1
100280,3,2,12146,1
100281,2,7,2191,1
100282,1,3,7393,0
100283,1,11,5165,1
100284,3,1,11462,0
100285,2,2,12766,0
100286,1,19,14312,0
100287,1,14,9095,0
100288,2,14,8390,1
100289,1,4,8094,0
100290,2,15,11831,0
100291,2,18,3252,1
100292,1,12,7913,1
100293,3,11,8890,0
100294,2,5,10332,0
100295,1,13,10330,1
100296,2,17,3078,1
100297,1,7,3747,1
100298,2,3,10659,0
100299,1,14,11630,1
100300,3,11,2111,0
100301,3,1,9553,1
100302,1,16,9268,1
100303,3,8,11222,0
100304,1,2,7484,0
100305,3,2,7447,0
100306,1,17,3194,0
100307,3,7,8981,0
100308,2,15,4781,1
100309,3,11,11407,1
100310,2,2,9355,0
100311,3,3,2568,1
100312,2,8,10751,1
100313,2,4,12503,0
100314,1,19,6577,1
100315,3,13,10811,0
100316,2,10,9684,1
100317,2,17,7249,0
100318,2,13,13453,0
100319,3,1,5439,1
100320,1,16,7812,1
100321,3,7,10143,1
100322,3,11,11754,1
100323,1,5,8750,0
100324,1,16,7285,0
100325,2,19,8897,1
100326,3,5,8886,1
100327,2,6,13525,0
100328,2,4,11918,0
100329,1,9,6228,1
100330,3,10,6803,0
100331,1,14,11161,0
100332,1,14,7831,1
100333,1,17,9760,0
100334,3,18,14625,0
100335,2,17,10784,0
100336,1,11,10033,1
100337,3,19,9765,1
100338,2,6,5466,1
100339,2,12,6351,0
100340,2,18,5990,0
100341,3,2,4082,1
100342,2,1,7821,0
100343,3,13,9262,0
100344,1,12,2261,1
100345,2,16,10898,0
100346,1,17,3638,1
100347,3,12,10180,0
100348,2,16,6071,0
100349,2,2,3487,0
100350,1,8,9852,1
100351,3,20,12155,0
100352,3,14,9050,0
100353,2,2,7314,1
100354,2,7,14571,1
100355,1,10,9542,0
100356,1,8,6908,0
100357,1,3,14641,0
100358,1,14,11729,0
100359,3,14,8850,0
100360,2,15,11591,1
100361,2,2,5072,0
100362,3,14,12233,0
100363,3,3,4839,0
100364,1,10,6495,1
100365,3,11,6837,0
100366,1,16,5493,0
100367,1,13,12800,1
100368,2,2,9254,0
100369,3,2,7058,1
100370,1,9,5508,1
100371,3,6,10531,1
100372,2,12,6624,1
100373,1,12,10279,0
100374,1,17,13101,0
100375,3,6,3456,1
100376,3,12,9633,0
100377,2,13,14416,0
100378,1,9,12463,1
100379,2,10,7610,1
100380,3,7,5064,0
100381,1,1,4664,0
100382,2,8,14726,1
100383,3,15,3397,0
100384,3,10,10346,1
100385,1,6,12979,1
100386,1,12,6233,1
100387,2,1,2992,0
100388,1,8,5334,0
100389,3,11,13634,0
100390,1,1,6376,1
100391,3,12,11328,1
100392,3,15,9331,0
100393,3,2,14439,0
100394,3,20,2962,1
100395,1,9,7775,1
100396,1,6,7034,1
100397,2,2,14369,0
100398,1,2,8227,0
100399,2,6,13745,1
100400,3,17,14921,1
100401,1,10,12187,1
100402,1,19,5666,0
100403,3,14,11720,0
100404,3,2,9854,1
100405,1,14,6351,1
100406,3,3,3780,1
100407,3,17,4330,1
100408,2,6,3703,0
100409,3,2,10207,0
100410,2,18,12597,1
100411,2,1,2595,1
100412,2,10,13567,1
100413,1,15,10868,1
100414,1,7,9270,0
100415,2,10,4820,1
100416,2,8,2974,1
100417,2,17,6097,0
100418,2,10,5613,0
100419,1,10,2762,0
100420,3,15,13728,0
100421,3,20,8900,1
100422,2,14,7591,0
100423,2,15,10076,0
100424,2,6,5238,1
100425,1,16,8961,1
100426,3,20,14538,0
100427,1,13,14865,1
100428,3,8,2331,0
100429,3,1,2230,1
100430,1,2,7384,1
100431,1,20,2954,1
100432,3,9,13684,0
100433,2,11,14581,0
100434,1,15,13232,1
100435,3,3,2217,1
100436,1,3,12971,0
100437,3,18,4467,0
100438,3,6,7438,1
100439,2,19,6851,1
100440,1,13,8728,0
100441,3,1,13453,1
100442,1,14,5287,1
100443,1,13,10011,0
100444,2,9,9469,0
100445,3,18,2870,1
100446,3,8,5534,0
100447,2,17,13748,0
100448,3,15,12634,1
100449,2,6,5444,1
100450,2,5,13181,0
100451,3,4,14906,1
100452,1,19,3501,0
100453,1,8,4033,0
100454,2,16,12870,0
100455,1,1,7371,0
100456,2,15,3669,0
100457,1,4,4473,1
100458,2,5,8790,1
100459,2,5,14510,0
100460,1,7,2371,1
100461,3,9,4605,1
100462,2,12,4522,0
100463,2,20,12989,1
100464,3,16,2234,0
100465,1,1,3298,0
100466,2,2,10433,1
100467,1,15,5952,0
100468,2,20,8398,0
100469,1,8,7749,1
100470,1,10,2111,0
100471,1,8,9742,0
100472,3,19,14546,1
100473,2,18,6563,1
100474,2,3,11665,1
100475,2,14,7342,0
100476,1,17,4357,0
100477,1,3,14937,0
100478,1,14,13398,1
100479,3,1,12856,1
100480,2,11,13565,0
100481,3,16,8782,1
100482,2,8,13991,0
100483,1,8,3215,0
100484,2,1,8682,1
100485,3,17,11439,0
100486,1,14,14013,0
100487,2,12,6532,0
100488,2,19,8276,1
100489,1,19,14748,1
100490,1,11,2979,1
100491,3,9,14959,1
100492,3,11,10618,0
100493,3,1,10379,0
100494,2,14,6524,1
100495,2,16,2945,1
100496,2,4,3592,1
100497,1,10,2713,1
100498,3,13,3050,0
100499,2,19,2348,1
100500,1,4,3915,0
100501,1,19,8558,1
100502,1,1,2578,0
100503,2,13,6147,1
100504,3,17,8099,1
100505,1,20,11984,0
100506,3,10,3906,0
100507,2,19,13062,1
100508,1,16,2161,1
100509,3,4,14335,1
100510,2,19,13707,1
100511,1,6,3818,0
100512,2,9,11686,0
100513,3,7,7196,1
100514,3,19,8763,0
100515,2,7,11642,0
100516,2,10,3973,0
100517,2,10,8939,0
100518,3,15,6948,1
100519,3,5,8284,1
100520,2,15,14292,0
100521,2,8,11574,1
100522,1,5,2978,1
100523,1,12,11121,1
100524,3,5,14581,0
100525,2,13,12790,0
100526,2,9,4696,0
100527,3,15,12112,1
100528,2,1,8490,1
100529,3,6,2487,1
100530,3,12,14952,0
100531,3,19,5015,0
100532,3,10,14312,0
100533,1,15,11672,0
100534,2,17,8279,0
100535,2,1,2223,1
100536,2,19,3982,1
100537,3,16,8991,1
100538,1,16,12881,1
100539,2,15,8358,1
100540,3,11,13148,0
100541,3,8,10552,0
100542,3,2,6212,0
100543,1,15,8536,0
100544,3,2,6951,1
100545,2,13,4896,0
100546,2,10,3000,1
100547,2,5,8718,1
100548,1,1,14765,1
100549,1,17,7168,1
100550,2,20,5902,1
100551,3,15,2796,1
100552,2,18,12342,0
100553,3,12,7011,0
100554,3,19,5489,0
100555,1,13,3127,1
100556,3,16,5652,1
100557,3,17,14761,1
100558,1,8,7724,1
100559,3,14,7930,0
100560,3,4,6818,0
100561,2,7,12169,1
100562,1,9,12619,0
100563,1,10,14375,1
100564,3,2,12345,1
100565,2,2,3491,0
100566,1,6,12135,1
100567,3,18,13612,0
100568,2,12,5280,1
100569,3,5,2120,0
100570,3,7,10011,1
100571,2,16,6698,1
100572,1,10,6285,0
100573,1,8,9385,1
100574,1,14,8161,1
100575,3,4,6196,1
100576,1,8,11347,0
100577,2,12,3614,1
100578,1,5,2930,0
100579,1,19,6965,1
100580,2,2,3238,0
100581,1,12,3545,0
100582,3,3,4483,0
100583,2,14,5077,0
100584,2,4,10868,0
100585,2,12,9281,0
100586,2,3,6585,1
100587,2,16,3896,0
100588,1,14,12679,0
100589,2,16,6611,0
100590,2,16,8644,1
100591,1,13,7692,1
100592,3,19,10564,1
100593,3,8,5274,1
100594,3,6,3699,1
100595,1,1,7958,0
100596,2,2,3003,0
100597,3,12,10796,1
100598,3,6,10761,0
100599,1,18,10867,0
100600,2,6,14529,1
100601,2,19,2765,0
100602,1,2,10428,1
100603,2,15,9078,0
100604,3,6,7396,0
100605,2,20,3367,0
100606,3,1,9006,1
100607,3,11,5239,1
100608,1,7,3918,1
100609,2,5,9763,0
100610,1,4,7796,1
100611,1,4,14873,1
100612,3,17,13920,0
100613,3,15,6514,1
100614,2,19,10221,1
100615,2,9,10378,1
100616,2,2,6749,0
100617,1,14,7548,1
100618,1,6,8284,0
100619,1,20,10238,1
100620,1,9,4770,0
100621,1,5,12534,1
100622,2,12,5619,1
100623,3,18,6969,1
100624,2,11,6347,0
100625,2,20,14169,0
100626,3,2,3630,1
100627,1,8,3304,1
100628,2,4,6931,0
100629,1,9,6424,0
100630,3,1,10440,0
100631,3,9,7000,1
100632,3,19,12074,1
100633,1,9,5752,1
100634,2,11,14494,1
100635,1,2,11168,0
100636,3,4,4118,1
100637,3,7,6707,0
100638,3,5,9099,1
100639,2,6,13865,0
100640,2,6,4811,0
100641,1,16,8372,1
100642,1,10,5349,0
100643,3,2,6305,1
100644,1,8,12958,0
100645,2,16,14677,0
100646,2,13,8378,1
100647,1,14,9291,1
100648,3,18,8674,1
100649,3,17,11410,0
100650,1,12,9611,0
100651,2,3,2128,0
100652,3,11,9246,1
100653,1,3,2496,1
100654,2,11,5153,0
100655,1,18,8246,1
100656,3,18,4841,0
100657,1,13,13973,0
100658,1,18,5815,0
100659,2,19,12470,0
100660,1,20,13054,1
100661,2,4,2729,0
100662,3,1,7286,0
100663,1,13,13152,0
100664,2,17,8183,0
100665,2,8,10850,1
100666,1,12,8017,0
100667,1,9,7549,1
100668,3,20,2594,1
100669,1,20,4694,1
100670,2,7,8780,1
100671,1,4,2846,1
100672,3,2,4073,1
100673,3,6,7486,0
100674,3,10,6639,1
100675,1,6,9483,1
100676,1,2,11750,0
100677,1,11,8907,1
100678,1,10,4872,1
100679,3,2,13092,0
100680,3,9,12576,0
100681,3,10,7359,0
100682,3,4,13850,0
100683,3,17,6930,1
100684,3,6,3107,0
100685,3,14,7033,1
100686,3,6,12356,0
100687,1,9,2577,0
100688,1,15,11437,0
100689,3,13,5408,0
100690,1,3,2180,0
100691,3,15,3144,0
100692,3,20,12247,1
100693,2,20,7311,1
100694,1,20,2150,1
100695,3,10,6409,1
100696,2,20,9077,1
100697,2,3,13927,1
100698,1,13,14064,1
100699,2,7,3630,1
100700,1,9,13905,1
100701,1,6,13109,1
100702,2,17,10480,0
100703,1,7,10796,1
100704,3,6,7050,0
100705,3,19,11250,1
100706,3,16,7542,1
100707,3,9,10895,1
100708,2,2,12220,1
100709,1,7,6619,0
100710,2,2,10151,0
100711,2,12,2306,0
100712,1,9,8659,0
100713,3,16,8466,0
100714,1,12,11936,1
100715,2,19,3617,0
100716,1,5,7701,0
100717,3,1,7924,1
100718,2,6,7651,0
100719,1,8,11502,0
100720,2,13,13431,0
100721,1,20,4956,0
100722,3,8,12584,1
100723,2,14,3668,0
100724,3,18,9697,1
100725,2,9,5473,1
100726,1,19,3232,0
100727,2,7,13181,1
100728,1,4,7737,1
100729,2,18,6749,0
100730,3,1,5045,1
100731,1,4,9592,1
100732,3,13,14732,1
100733,2,6,7425,0
100734,3,13,13406,0
100735,3,19,14251,0
100736,3,8,2697,1
100737,3,2,12234,1
100738,1,5,12802,0
100739,2,3,14775,1
100740,2,17,4576,0
100741,3,1,5690,0
100742,3,11,3095,1
100743,2,3,5441,0
100744,3,5,7983,1
100745,2,13,13478,1
100746,1,11,14513,0
100747,2,10,13423,1
100748,1,4,4039,0
100749,2,11,9135,0
100750,3,8,14178,0
100751,1,6,14897,1
100752,1,18,7496,1
100753,1,12,4487,1
100754,3,19,7739,0
100755,1,1,8452,1
100756,3,2,13600,0
100757,1,15,10902,0
100758,2,7,8248,1
100759,1,13,10851,1
100760,1,7,9157,1
100761,3,16,4501,0
100762,1,5,10781,1
100763,1,13,11152,1
100764,2,5,14330,1
100765,3,1,12437,0
100766,3,8,9169,1
100767,3,7,3406,0
100768,3,12,6093,0
100769,3,6,8488,0
100770,3,11,5817,0
100771,2,3,9508,1
100772,3,7,5594,0
100773,3,6,10554,0
100774,2,7,4331,1
100775,2,7,12909,1
100776,3,1,8120,0
100777,2,16,6617,1
100778,1,1,8528,1
100779,2,10,5261,1
100780,1,17,10330,1
100781,3,20,11598,0
100782,2,4,6837,0
100783,1,14,8867,0
100784,3,9,12826,0
100785,3,18,6010,1
100786,1,20,4184,1
100787,3,15,8862,1
100788,3,17,3615,1
100789,1,18,12119,0
100790,1,1,4285,1
100791,3,8,6844,0
100792,3,6,9740,1
100793,3,3,8892,1
100794,1,11,5610,0
100795,1,3,10270,1
100796,1,16,3014,0
100797,3,2,8161,1
100798,2,10,11717,0
100799,2,7,13664,0
100800,1,3,10374,1
100801,1,15,6120,0
100802,3,10,7227,1
100803,1,1,13192,0
100804,2,19,4283,1
100805,2,11,10100,0
100806,1,16,9084,1
100807,1,1,6716,0
100808,2,15,2941,0
100809,1,1,8780,0
100810,2,13,13330,0
100811,1,9,8690,1
100812,3,5,4442,0
100813,2,11,12360,0
100814,2,5,9290,1
100815,2,13,9250,1
100816,3,16,11177,1
100817,2,13,6778,0
100818,2,13,13767,1
100819,2,10,13136,0
100820,3,9,6475,0
100821,1,7,7362,1
100822,1,2,12399,1
100823,2,14,2157,0
100824,2,3,8829,1
100825,3,16,9565,1
100826,2,5,10889,0
100827,3,13,12012,0
100828,2,8,4118,0
100829,2,10,4268,0
100830,3,15,2552,1
100831,3,3,10501,0
100832,2,2,10636,1
100833,3,13,14333,1
100834,1,7,13342,0
100835,1,4,6207,0
100836,2,19,12481,1
100837,2,15,6563,0
100838,3,1,5389,0
100839,2,16,7155,1
100840,1,14,10818,1
100841,3,4,8578,1
100842,2,19,10953,0
100843,2,16,8780,1
100844,3,6,5358,1
100845,3,15,5184,1
100846,3,8,11089,1
100847,2,5,14239,1
100848,2,13,13769,0
100849,1,7,10318,1
100850,1,2,14472,1
100851,3,13,10404,1
100852,2,7,8409,0
100853,1,13,4786,1
100854,3,8,10793,0
100855,3,18,11483,0
100856,3,2,7765,0
100857,1,19,3043,1
100858,3,16,6684,0
100859,1,6,2763,0
100860,1,7,5345,1
100861,3,1,8845,0
100862,3,18,13546,0
100863,3,5,3314,0
100864,1,20,2177,1
100865,3,8,10195,0
100866,1,5,9576,1
100867,1,8,12039,0
100868,3,3,9218,0
100869,2,4,3797,0
100870,2,12,7791,0
100871,3,17,12798,1
100872,3,9,2880,0
100873,2,8,13590,1
100874,1,18,6829,1
100875,2,2,3236,1
100876,2,16,3981,1
100877,2,1,11600,0
100878,1,14,10115,1
100879,2,11,13603,0
100880,3,19,4093,1
100881,2,2,13164,0
100882,2,20,4562,1
100883,3,2,13190,0
100884,1,12,2921,0
100885,3,20,7823,1
100886,3,12,7023,1
100887,1,19,14990,1
100888,1,18,13929,1
100889,1,5,6330,1
100890,1,1,12705,1
100891,2,13,6816,0
100892,3,7,7908,1
100893,2,2,8318,1
100894,3,7,8150,1
100895,2,10,3606,1
100896,3,16,7388,1
100897,2,9,2234,0
100898,2,15,7348,1
100899,2,5,4427,0
100900,3,16,6099,1
100901,1,8,14150,1
100902,3,8,9279,0
100903,1,15,2263,0
100904,2,8,9161,0
100905,1,8,10215,0
100906,2,4,7799,0
100907,3,8,2276,0
100908,3,3,4578,0
100909,2,15,12954,0
100910,1,16,8063,0
100911,1,10,3208,1
100912,2,3,11234,0
100913,1,11,6951,0
100914,2,10,2650,1
100915,3,4,9944,1
100916,3,20,12173,0
100917,3,8,11846,0
100918,2,18,11383,0
100919,1,18,3993,0
100920,3,2,14718,0
100921,2,1,8144,1
100922,3,6,13593,1
100923,1,16,11885,1
100924,2,12,8307,0
100925,3,9,13663,0
100926,3,20,6609,0
100927,1,1,13131,0
100928,1,9,10329,0
100929,2,1,6630,0
100930,2,14,7321,1
100931,1,5,9764,1
100932,2,12,6378,0
100933,3,18,3223,1
100934,3,13,10703,0
100935,1,15,2704,1
100936,2,3,12221,0
100937,2,5,2547,0
100938,3,19,14716,0
100939,2,1,2754,1
100940,1,7,5218,0
100941,1,13,13537,0
100942,1,20,6390,0
100943,1,14,10144,0
100944,2,20,2480,0
100945,2,10,9631,1
100946,3,10,6767,1
100947,3,17,2827,0
100948,3,20,11727,1
100949,1,1,4667,0
100950,2,19,13315,0
100951,3,10,5101,0
100952,2,11,3297,1
100953,3,1,10156,0
100954,3,2,9306,1
100955,3,8,3955,0
100956,1,18,7588,0
100957,1,1,6976,1
100958,2,2,6275,0
100959,3,8,8357,0
100960,2,16,7966,1
100961,1,4,4224,1
100962,1,6,6786,0
100963,3,6,12309,0
100964,3,15,11366,0
100965,2,1,5982,1
100966,2,20,3752,0
100967,3,4,7652,0
100968,3,5,5343,0
100969,3,3,7252,1
100970,1,12,8438,0
100971,3,12,7036,0
100972,3,20,9706,1
100973,3,1,7609,0
100974,3,19,9957,0
100975,3,2,9736,0
100976,2,19,6720,1
100977,1,2,6741,1
100978,2,17,12083,0
100979,3,19,5831,1
100980,2,6,7988,1
100981,1,3,11078,0
100982,1,15,6024,1
100983,1,6,8111,0
100984,2,16,13893,0
100985,2,15,4204,1
100986,2,1,3041,0
100987,1,4,2464,1
100988,3,8,11919,0
100989,3,2,8535,0
100990,2,7,3276,1
100991,2,18,6593,1
100992,1,16,7958,0
100993,1,10,9903,0
100994,1,9,10773,0
100995,3,5,11847,0
100996,3,1,14823,1
100997,2,2,6716,0
100998,2,17,7279,1
100999,2,4,8245,1
101000,2,1,4242,1
101001,3,3,14250,0
101002,3,14,11690,1
101003,3,10,9599,0
101004,2,5,11656,1
101005,1,14,7948,1
101006,1,15,3634,0
101007,3,1,4270,1
101008,3,11,14774,0
101009,2,16,2461,0
101010,2,7,3612,0
101011,3,14,8865,0
101012,1,6,8169,1
101013,2,10,11653,0
101014,3,13,2698,0
101015,2,20,3088,0
101016,1,20,5216,0
101017,2,19,14481,1
101018,3,7,9596,1
101019,2,13,10536,0
101020,2,16,8809,1
101021,2,5,7797,0
101022,3,18,10158,0
101023,1,5,12305,0
101024,1,13,11804,1
101025,1,5,4845,0
101026,3,20,10171,0
101027,1,11,14876,0
101028,1,5,5517,1
101029,3,14,2433,1
101030,3,3,11494,0
101031,3,18,9804,0
101032,2,4,10340,1
101033,2,20,14885,0
101034,1,2,2630,0
101035,2,5,12194,1
101036,1,1,6197,1
101037,1,14,8434,0
101038,3,5,6850,0
101039,2,16,5960,0
101040,2,15,11013,1
101041,1,7,3369,1
101042,2,1,6904,1
101043,2,15,2545,0
101044,3,3,4897,1
101045,2,2,12181,0
101046,3,8,2709,1
101047,3,14,8616,1
101048,2,8,9970,0
101049,1,5,13645,1
101050,1,7,2208,0
101051,1,12,12426,0
101052,3,8,2962,1
101053,1,12,12921,1
101054,1,7,11603,1
101055,3,4,13924,0
101056,2,20,14776,1
101057,2,19,6635,0
101058,3,1,11823,0
101059,3,17,10879,0
101060,3,7,11317,1
101061,3,7,8763,0
101062,3,4,4788,0
101063,3,13,8421,0
101064,1,20,3501,1
101065,1,17,13990,0
101066,2,17,4731,1
101067,3,10,10742,1
101068,3,3,14412,0
101069,2,2,7383,0
101070,1,9,12358,0
101071,3,3,5134,1
101072,2,19,9689,0
101073,3,8,2740,1
101074,1,15,8142,0
101075,1,4,14649,1
101076,1,12,7600,1
101077,2,15,9003,0
101078,1,9,8863,1
101079,2,20,7988,1
101080,1,20,13254,1
101081,2,14,5854,0
101082,3,20,12582,0
101083,1,19,11571,1
101084,2,13,5533,1
101085,2,4,5961,0
101086,2,20,13221,1
101087,1,17,8640,1
101088,2,5,3511,1
101089,1,10,10444,1
101090,3,5,4661,0
101091,3,4,3963,0
101092,1,13,13211,0
101093,2,9,9553,0
101094,1,7,12752,1
101095,3,11,11440,1
101096,1,4,13583,0
101097,3,14,7722,1
101098,3,5,6607,0
101099,2,6,10934,1
101100,2,19,14364,0
101101,3,13,2242,1
101102,1,4,7734,0
101103,1,4,11781,1
101104,3,8,13354,0
101105,1,10,2552,1
101106,3,17,9280,0
101107,3,19,9186,0
101108,2,10,14991,0
101109,2,13,6460,1
101110,3,18,9436,0
101111,1,7,12653,0
101112,2,20,5820,0
101113,2,10,13748,1
101114,2,1,13751,0
101115,3,7,9981,0
101116,2,3,10261,1
101117,3,17,8306,0
101118,3,3,5709,1
101119,1,15,8216,1
101120,2,17,3059,0
101121,3,8,8156,1
101122,2,18,14390,1
101123,2,20,3751,1
101124,1,11,4189,0
101125,1,4,10767,0
101126,1,8,6534,1
101127,1,5,4331,1
101128,2,14,12174,0
101129,2,10,5087,0
101130,3,6,2672,1
101131,2,3,6659,0
101132,2,20,14419,1
101133,1,10,14531,0
101134,1,6,12299,1
101135,3,14,5239,0
101136,2,8,6197,1
101137,1,10,13080,1
101138,1,13,9927,0
101139,2,3,11478,0
101140,3,16,12195,0
101141,2,8,14783,1
101142,2,13,6295,0
101143,1,4,6782,0
101144,1,12,3234,1
101145,1,4,5872,0
101146,1,15,8399,1
101147,1,16,7439,0
101148,1,20,2197,0
101149,2,10,14817,0
101150,2,10,4544,1
101151,2,3,2745,0
101152,2,3,14895,1
101153,3,9,7197,0
101154,1,20,9380,1
101155,3,4,5296,1
101156,1,6,14733,0
101157,1,3,2100,0
101158,2,15,6192,1
101159,2,1,4904,0
101160,3,2,13250,0
